model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mcc,kappa,brier,ece,cost,tn,fp,fn,tp
Best single base learner (Hist. Gradient Boosting),0.5,0.9511400651465798,0.9455782312925171,0.9144736842105263,0.9712023038156947,0.9297658862876255,0.9524629608578683,0.938493450476214,0.8926154820182178,0.8923220817396823,0.045586442247765945,0.03432999094524688,365.0,1349,40,65,695
+ Provenance-blind stacking (single full bank),0.5,0.9520707305723592,0.9433198380566802,0.9197368421052632,0.9697624190064795,0.9313790806129247,0.9527376757227844,0.9390823768423149,0.8947322248865379,0.8945629770274216,0.04768837092481326,0.03179376607843985,347.0,1347,42,61,699
+ Provenance-partitioned bank set (Stage 1),0.5,0.952536063285249,0.94579945799458,0.9184210526315789,0.9712023038156947,0.931909212283044,0.9528399833276495,0.9358898933414262,0.8957202810813973,0.8954927001557135,0.04740133678421926,0.03091016381968954,350.0,1349,40,62,698
+ Fixed-weight dual-stream fusion ($\alpha\!\equiv\!0.5$),0.5,0.9520707305723592,0.9445196211096076,0.9184210526315789,0.9704823614110871,0.9312875250166778,0.9531895343109393,0.9360235838628862,0.8947067579575261,0.8944997571578845,0.04742383751582593,0.02873045990212721,351.0,1348,41,62,698
+ Provenance gate $\alpha(x)$ (Stage 2),0.5,0.952536063285249,0.9433962264150944,0.9210526315789473,0.9697624190064795,0.9320905459387483,0.9523881247394946,0.9357759111963739,0.8957698970812905,0.8956179123582472,0.04796957369457152,0.033757007288511956,342.0,1347,42,60,700
+ Monotone calibration head (Stage 3a),0.5,0.949278734295021,0.9345794392523364,0.9210526315789473,0.9647228221742261,0.927766732935719,0.9512134818688189,0.9290603776252108,0.8887439010824628,0.8886878249501868,0.04707806230832489,0.012889437779340374,349.0,1340,49,60,700
+ Decision-cost term (Stage 3b) --- full PROVA-AD,0.5,0.95067473243369,0.936,0.9236842105263158,0.9654427645788337,0.9298013245033112,0.9507388882573605,0.9286874357999425,0.8918302857573235,0.8917838089492112,0.04715795188121264,0.014892325288365841,338.0,1341,48,58,702
\quad full PROVA-AD @ closed-form $\tau^{*}$,0.1667,0.9390414146114472,0.9047619047619048,0.925,0.9467242620590353,0.9147690305790501,0.9507388882573605,0.9286874357999425,0.8674600590833541,0.8673314881951844,0.04715795188121264,0.014892325288365841,359.0,1315,74,57,703
