model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mcc,kappa,brier,ece,cost,tn,fp,fn,tp
PROVA-AD (ours),0.5,0.95067473243369,0.936,0.9236842105263158,0.9654427645788337,0.9298013245033112,0.9507388882573605,0.9286874357999425,0.8918302857573235,0.8917838089492112,0.04715795188121264,0.014892325288365841,338.0,1341,48,58,702
PROVA-AD (ours) @ tau*,0.1667,0.9390414146114472,0.9047619047619048,0.925,0.9467242620590353,0.9147690305790501,0.9507388882573605,0.9286874357999425,0.8674600590833541,0.8673314881951844,0.04715795188121264,0.014892325288365841,359.0,1315,74,57,703
