fraction,n_train,train_accuracy,cv_accuracy,cv_auc
0.2,344,0.7399416909620992,0.8980921358771522,0.9296180516085029
0.4,688,0.6075691411935953,0.9283387622149837,0.946301769542647
0.6,1032,0.8815891472868216,0.9436947417403444,0.9504196506384753
0.8,1375,0.8516443974630021,0.9432294090274547,0.9491521730893107
1.0,1719,0.8121000581733565,0.9497440670079107,0.9504821719525596
