model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mcc,kappa,brier,ece,cost,tn,fp,fn,tp
PROVA-AD (ours),0.5,0.6463471382038157,0.0,0.0,1.0,0.0,0.5106797771967716,0.364483677893656,0.0,0.0,0.2290443232236988,0.0178478413433335,3800.0,1389,0,760,0
PROVA-AD (ours) @ tau*,0.1667,0.35365286179618427,0.35365286179618427,1.0,0.0,0.5225163286352699,0.5106797771967716,0.364483677893656,0.0,0.0,0.2290443232236988,0.0178478413433335,1389.0,0,1389,0,760
