configuration,accuracy,roc_auc,brier,ece,recall_tau_star,cost_tau_star
full model,0.95067473243369,0.9507388882573605,0.04715795188121264,0.014892325288365841,0.925,359.0
$-$ gate-entropy regulariser,0.9264774313634249,0.9479150089045508,0.062160374903475604,0.0359714056733689,0.9210526315789473,481.0
$-$ monotone calibration head,0.9530013959981387,0.9513451555454511,0.04790724367577244,0.03574984997350618,0.9276315789473685,384.0
$-$ decision-cost term,0.949278734295021,0.9512134818688189,0.04707806230832489,0.012889437779340374,0.925,359.0
$-$ provenance gate (fixed $\alpha=0.5$),0.9511400651465798,0.9530114432950628,0.04568267803162105,0.010820206860281845,0.9236842105263158,352.0
